number,caller_id,opened_by,contact_type,location,category,subcategory,u_symptom,impact,urgency,priority,assignment_group,assigned_to,u_priority_confirmation,duracion_horas
INC0009065,Caller 5588,Opened by  58,Phone,Location 204,Category 46,Subcategory 223,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 39,Resolver 194,False,40.2
INC0002538,Caller 5457,Opened by  443,Phone,Location 204,Category 55,Subcategory 170,Symptom 387,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 149,False,404.2
INC0009071,Caller 2777,Opened by  58,Phone,Location 108,Category 46,Subcategory 223,Symptom 592,2 - Medium,2 - Medium,3 - Moderate,Group 39,Resolver 194,False,36.28333333333333
INC0005785,Caller 3402,Opened by  59,Phone,Location 59,Category 9,Subcategory 164,Symptom 462,2 - Medium,2 - Medium,3 - Moderate,Group 20,Resolver 34,False,241.3
INC0006689,Caller 1684,Opened by  501,Phone,Location 108,Category 53,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 34,False,165.81666666666666
INC0007800,Caller 503,Opened by  397,Phone,Location 43,Category 53,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 39,Resolver 194,False,117.03333333333333
INC0009329,Caller 2543,Opened by  40,Phone,Location 69,Category 26,Subcategory 275,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,0.26666666666666666
INC0008399,Caller 1932,Opened by  108,Phone,Location 93,Category 53,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 23,Resolver 69,False,91.46666666666667
INC0009223,Caller 3936,Opened by  17,Phone,Location 51,Category 42,Subcategory 223,Symptom 532,2 - Medium,2 - Medium,3 - Moderate,Group 39,Resolver 194,False,1.6666666666666667
INC0003334,Caller 1965,Opened by  59,Phone,Location 204,Category 26,Subcategory 275,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,No asignado,No asignado,False,335.3
INC0008443,Caller 4279,Opened by  17,Phone,Location 93,Category 9,Subcategory 164,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 23,Resolver 69,False,90.18333333333334
INC0007953,Caller 79,Opened by  17,Phone,Location 108,Category 26,Subcategory 175,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 33,False,113.8
INC0008299,Caller 799,Opened by  386,Phone,Location 51,Category 42,Subcategory 223,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 97,False,94.38333333333334
INC0008570,Caller 4852,Opened by  17,Phone,Location 93,Category 26,Subcategory 175,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,False,74.0
INC0006230,Caller 173,Opened by  58,Phone,Location 108,Category 53,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 27,No asignado,False,233.05
INC0009242,Caller 502,Opened by  8,Phone,Location 204,Category 42,Subcategory 223,Symptom 532,2 - Medium,2 - Medium,3 - Moderate,Group 39,Resolver 194,False,1.4833333333333334
INC0007986,Caller 4556,Opened by  17,Phone,Location 51,Category 42,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 33,False,113.28333333333333
INC0007348,Caller 873,Opened by  17,Phone,Location 143,Category 26,Subcategory 175,Symptom 116,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 236,False,140.16666666666666
INC0003808,Caller 330,Opened by  58,Phone,Location 143,Category 26,Subcategory 175,Symptom 120,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 149,False,329.05
INC0004444,Caller 366,Opened by  59,Phone,Location 223,Category 28,Subcategory 174,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 25,No asignado,False,306.23333333333335
INC0009367,Caller 4415,Opened by  131,Phone,Location 93,Category 53,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 73,False,0.06666666666666667
INC0009233,Caller 2283,Opened by  8,Phone,Location 204,Category 32,Subcategory 9,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 57,False,1.8166666666666667
INC0009264,Caller 3700,Opened by  501,Phone,Location 51,Category 46,Subcategory 223,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 39,Resolver 194,False,1.3666666666666667
INC0009239,Caller 2283,Opened by  8,Phone,Location 204,Category 26,Subcategory 275,Symptom 116,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 57,False,1.75
INC0009369,Caller 4136,Opened by  17,Phone,Location 143,Category 42,Subcategory 223,Symptom 534,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,False,0.15
INC0006556,Caller 5529,Opened by  17,Phone,Location 161,Category 35,Subcategory 132,Symptom 403,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 13,False,168.6
INC0006562,Caller 5103,Opened by  40,Phone,Location 71,Category 26,Subcategory 275,Symptom 116,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 13,False,168.6
INC0001865,Caller 2398,Opened by  390,Phone,Location 161,Category 32,Subcategory 9,Symptom 486,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,431.31666666666666
INC0003140,Caller 675,Opened by  17,Phone,Location 71,Category 53,Subcategory 113,Symptom 315,2 - Medium,2 - Medium,3 - Moderate,No asignado,No asignado,False,337.8
INC0008706,Caller 1925,Opened by  17,Phone,Location 108,Category 53,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 34,False,72.2
INC0009312,Caller 1904,Opened by  180,Phone,Location 125,Category 51,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 64,Resolver 94,False,1.1166666666666667
INC0001880,Caller 3815,Opened by  390,Phone,Location 108,Category 23,Subcategory 3,Symptom 4,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,431.06666666666666
INC0001720,Caller 3361,Opened by  24,Phone,Location 229,Category 53,Subcategory 114,Symptom 6,2 - Medium,2 - Medium,3 - Moderate,No asignado,No asignado,False,433.06666666666666
INC0008986,Caller 4372,Opened by  58,Phone,Location 108,Category 46,Subcategory 223,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 159,False,61.63333333333333
INC0008946,Caller 4443,Opened by  108,Phone,Location 161,Category 23,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 20,Resolver 253,False,66.2
INC0005400,Caller 3452,Opened by  17,Phone,Location 55,Category 53,Subcategory 82,Symptom 534,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,False,262.76666666666665
INC0009322,Caller 1904,Opened by  180,Phone,Location 125,Category 51,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 64,Resolver 94,False,1.1666666666666667
INC0003893,Caller 2081,Opened by  24,Phone,Location 82,Category 13,Subcategory 302,Symptom 6,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 17,False,315.7
INC0008939,Caller 1228,Opened by  55,Phone,Location 204,Category 37,Subcategory 135,Symptom 118,2 - Medium,1 - High,2 - High,Group 25,Resolver 140,False,66.45
INC0009396,Caller 1904,Opened by  180,Phone,Location 125,Category 51,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 64,Resolver 94,False,0.016666666666666666
INC0006671,Caller 2435,Opened by  108,Phone,Location 161,Category 20,Subcategory 103,Symptom 387,2 - Medium,2 - Medium,3 - Moderate,No asignado,No asignado,False,167.26666666666668
INC0007786,Caller 4832,Opened by  17,Phone,Location 108,Category 53,Subcategory 13,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 111,False,118.21666666666667
INC0006281,Caller 2608,Opened by  386,Phone,Location 70,Category 20,Subcategory 125,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,214.0
INC0006703,Caller 4013,Opened by  17,Phone,Location 161,Category 26,Subcategory 275,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,False,166.53333333333333
INC0009397,Caller 4502,Opened by  501,Phone,Location 108,Category 32,Subcategory 9,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 233,False,0.2
INC0006282,Caller 4562,Opened by  386,Phone,Location 70,Category 20,Subcategory 174,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,False,213.93333333333334
INC0008535,Caller 1035,Opened by  503,Phone,Location 224,Category 51,Subcategory 25,Symptom 44,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 235,False,76.1
INC0009237,Caller 3752,Opened by  390,Phone,Location 108,Category 53,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 34,False,2.55
INC0009391,Caller 1222,Opened by  17,Phone,Location 204,Category 20,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,False,0.5
INC0008837,Caller 2861,Opened by  397,Phone,Location 204,Category 53,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 140,False,69.31666666666666
INC0004667,Caller 4237,Opened by  9,Phone,Location 204,Category 19,Subcategory 174,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 167,False,290.35
INC0008434,Caller 4683,Opened by  108,Phone,Location 108,Category 24,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 111,False,91.73333333333333
INC0009226,Caller 2576,Opened by  8,Phone,Location 135,Category 32,Subcategory 9,Symptom 105,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 229,False,2.933333333333333
INC0002107,Caller 2723,Opened by  55,Phone,Location 204,Category 34,Subcategory 154,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 9,No asignado,False,427.2
INC0002629,Caller 3753,Opened by  443,Phone,Location 93,Category 13,Subcategory 302,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,403.96666666666664
INC0008708,Caller 609,Opened by  8,Phone,Location 203,Category 19,Subcategory 163,Symptom 454,2 - Medium,2 - Medium,3 - Moderate,Group 59,Resolver 137,False,73.05
INC0005239,Caller 3177,Opened by  17,Phone,Location 93,Category 26,Subcategory 175,Symptom 571,2 - Medium,2 - Medium,3 - Moderate,Group 23,Resolver 135,False,266.5
INC0009354,Caller 5189,Opened by  40,Phone,Location 204,Category 53,Subcategory 174,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 140,False,1.4333333333333333
INC0006291,Caller 185,Opened by  386,Phone,Location 179,Category 9,Subcategory 164,Symptom 117,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 57,False,211.36666666666667
INC0008559,Caller 112,Opened by  40,Phone,Location 128,Category 53,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 54,No asignado,False,75.66666666666667
INC0006559,Caller 1685,Opened by  397,Phone,Location 204,Category 24,Subcategory 164,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 57,False,169.63333333333333
INC0009389,Caller 1593,Opened by  8,Phone,Location 204,Category 19,Subcategory 163,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 137,False,0.9666666666666667
INC0003883,Caller 4093,Opened by  8,Phone,Location 108,Category 46,Subcategory 249,Symptom 286,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 149,False,318.81666666666666
INC0007649,Caller 374,Opened by  40,Phone,Location 113,Category 32,Subcategory 300,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 17,False,121.86666666666666
INC0006762,Caller 4393,Opened by  301,Phone,Location 143,Category 35,Subcategory 28,Symptom 506,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,False,166.1
INC0006794,Caller 93,Opened by  55,Phone,Location 161,Category 26,Subcategory 175,No reportado,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 13,False,165.61666666666667
INC0009430,Caller 4492,Opened by  131,Phone,Location 143,Category 53,Subcategory 114,Symptom 10,2 - Medium,2 - Medium,3 - Moderate,Group 81,No asignado,False,0.43333333333333335
INC0009448,Caller 2971,Opened by  131,Phone,Location 209,Category 20,Subcategory 89,Symptom 387,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 73,False,0.08333333333333333
INC0009286,Caller 1867,Opened by  501,Phone,Location 204,Category 37,Subcategory 135,No reportado,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 233,False,2.6666666666666665
INC0002080,Caller 1197,Opened by  221,Phone,Location 143,Category 26,Subcategory 275,Symptom 208,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,428.21666666666664
INC0005569,Caller 944,Opened by  17,Phone,Location 204,Category 9,Subcategory 174,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 227,False,260.15
INC0003976,Caller 1414,Opened by  17,Phone,Location 55,Category 23,Subcategory 3,No reportado,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 73,False,315.85
INC0006877,Caller 588,Opened by  397,Phone,Location 160,Category 26,Subcategory 175,Symptom 116,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 13,False,164.4
INC0006878,Caller 287,Opened by  55,Phone,Location 108,Category 26,Subcategory 175,No reportado,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 13,False,164.38333333333333
INC0006884,Caller 3466,Opened by  17,Phone,Location 143,Category 20,Subcategory 125,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,False,164.28333333333333
INC0005851,Caller 5170,Opened by  59,Phone,Location 161,Category 20,Subcategory 103,Symptom 387,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 73,False,242.61666666666667
INC0006886,Caller 3646,Opened by  397,Phone,Location 143,Category 53,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 13,False,164.31666666666666
INC0006894,Caller 1777,Opened by  17,Phone,Location 143,Category 26,Subcategory 175,Symptom 120,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 13,False,164.13333333333333
INC0004011,Caller 5069,Opened by  59,Phone,Location 143,Category 40,Subcategory 43,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 192,False,315.73333333333335
INC0009457,Caller 2314,Opened by  17,Phone,Location 51,Category 42,Subcategory 223,Symptom 534,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,False,0.4166666666666667
INC0006899,Caller 1802,Opened by  55,Phone,Location 143,Category 24,Subcategory 174,No reportado,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 13,False,164.03333333333333
INC0006905,Caller 5186,Opened by  17,Phone,Location 91,Category 26,Subcategory 175,Symptom 120,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 13,False,163.98333333333332
INC0006983,Caller 5312,Opened by  397,Phone,Location 232,Category 20,Subcategory 125,Symptom 517,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,False,149.38333333333333
INC0006997,Caller 93,Opened by  501,Phone,Location 161,Category 28,Subcategory 174,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,False,148.98333333333332
INC0009478,Caller 4922,Opened by  221,Phone,Location 143,Category 42,Subcategory 223,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 115,False,0.08333333333333333
INC0003928,Caller 4459,Opened by  59,Phone,Location 108,Category 40,Subcategory 43,Symptom 333,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 192,False,316.96666666666664
INC0007106,Caller 838,Opened by  397,Phone,Location 204,Category 37,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,No asignado,No asignado,False,147.63333333333333
INC0001813,Caller 785,Opened by  131,Phone,Location 108,Category 45,Subcategory 223,Symptom 311,2 - Medium,2 - Medium,3 - Moderate,Group 10,Resolver 200,False,434.28333333333336
INC0002720,Caller 1163,Opened by  267,Phone,Location 143,Category 45,Subcategory 150,No reportado,3 - Low,3 - Low,4 - Low,Group 10,Resolver 200,False,404.01666666666665
INC0004098,Caller 4921,Opened by  8,Phone,Location 161,Category 26,Subcategory 275,Symptom 387,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,315.2
INC0009314,Caller 1795,Opened by  17,Phone,Location 143,Category 42,Subcategory 223,Symptom 532,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,3.433333333333333
INC0007917,Caller 4214,Opened by  17,Phone,Location 136,Category 13,Subcategory 302,Symptom 491,2 - Medium,1 - High,2 - High,No asignado,Resolver 17,False,117.6
INC0009351,Caller 785,Opened by  17,Phone,Location 108,Category 26,Subcategory 164,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 170,False,2.966666666666667
INC0004430,Caller 2215,Opened by  108,Phone,Location 143,Category 53,Subcategory 113,Symptom 6,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,False,309.3833333333333
INC0009327,Caller 2939,Opened by  17,Phone,Location 143,Category 57,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 28,Resolver 236,False,3.5166666666666666
INC0009462,Caller 2280,Opened by  17,Phone,Location 204,Category 46,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,1.0833333333333333
INC0009395,Caller 3057,Opened by  17,Phone,Location 245,Category 46,Subcategory 233,Symptom 228,2 - Medium,2 - Medium,3 - Moderate,Group 21,Resolver 234,False,2.4833333333333334
INC0009355,Caller 471,Opened by  8,Phone,Location 204,Category 19,Subcategory 163,Symptom 454,2 - Medium,2 - Medium,3 - Moderate,Group 20,Resolver 137,False,3.183333333333333
INC0009271,Caller 4886,Opened by  62,Phone,Location 161,Category 42,Subcategory 223,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 33,False,4.3
INC0009467,Caller 3840,Opened by  17,Phone,Location 161,Category 37,Subcategory 285,Symptom 587,2 - Medium,2 - Medium,3 - Moderate,Group 49,Resolver 120,False,1.05
INC0007208,Caller 3702,Opened by  17,Phone,Location 93,Category 24,Subcategory 164,Symptom 571,2 - Medium,2 - Medium,3 - Moderate,Group 23,Resolver 215,False,146.65
INC0009362,Caller 2847,Opened by  17,Phone,Location 38,Category 46,Subcategory 250,Symptom 288,2 - Medium,2 - Medium,3 - Moderate,Group 57,Resolver 153,False,3.316666666666667
INC0009486,Caller 5252,Opened by  386,Phone,Location 108,Category 26,Subcategory 175,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,0.6166666666666667
INC0003935,Caller 477,Opened by  59,Phone,Location 204,Category 40,Subcategory 43,Symptom 382,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 192,False,317.65
INC0003952,Caller 5561,Opened by  59,Phone,Location 161,Category 40,Subcategory 43,No reportado,2 - Medium,2 - Medium,3 - Moderate,No asignado,No asignado,False,317.51666666666665
INC0008934,Caller 4175,Opened by  381,Phone,Location 204,Category 42,Subcategory 223,Symptom 491,2 - Medium,1 - High,2 - High,Group 70,Resolver 182,False,69.41666666666667
INC0003961,Caller 5131,Opened by  62,Phone,Location 161,Category 26,Subcategory 175,Symptom 232,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 17,False,317.48333333333335
INC0009097,Caller 616,Opened by  501,Phone,Location 161,Category 9,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 249,False,29.466666666666665
INC0004493,Caller 1670,Opened by  305,Phone,Location 143,Category 9,Subcategory 145,No reportado,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 126,False,307.5833333333333
INC0004520,Caller 5440,Opened by  8,Phone,Location 204,Category 26,Subcategory 175,Symptom 470,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 13,False,300.7
INC0004528,Caller 3609,Opened by  397,Phone,Location 179,Category 42,Subcategory 106,Symptom 544,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 149,False,299.4166666666667
INC0009346,Caller 5452,Opened by  17,Phone,Location 143,Category 42,Subcategory 223,Symptom 534,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 13,False,3.95
INC0009492,Caller 1776,Opened by  44,Phone,Location 161,Category 51,Subcategory 182,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 24,False,0.9833333333333333
INC0004539,Caller 3933,Opened by  443,Phone,Location 143,Category 45,Subcategory 200,Symptom 6,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 149,False,297.73333333333335
INC0009463,Caller 3830,Opened by  55,Phone,Location 35,Category 26,Subcategory 275,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 115,False,1.7333333333333334
INC0007040,Caller 4254,Opened by  501,Phone,Location 161,Category 20,Subcategory 174,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 24,False,149.8
INC0004577,Caller 875,Opened by  131,Phone,Location 143,Category 26,Subcategory 175,Symptom 116,3 - Low,3 - Low,4 - Low,No asignado,Resolver 13,False,295.0833333333333
INC0009540,Caller 1735,Opened by  386,Phone,Location 204,Category 42,Subcategory 223,Symptom 534,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 186,False,0.11666666666666667
INC0008236,Caller 2387,Opened by  397,Phone,Location 161,Category 26,Subcategory 175,Symptom 120,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 24,False,99.98333333333333
INC0007836,Caller 531,Opened by  397,Phone,Location 204,Category 42,Subcategory 31,No reportado,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 194,False,120.41666666666667
INC0009168,Caller 5027,Opened by  17,Phone,Location 93,Category 37,Subcategory 135,Symptom 118,2 - Medium,2 - Medium,3 - Moderate,Group 23,Resolver 69,False,7.65
INC0004714,Caller 3388,Opened by  131,Phone,Location 51,Category 26,Subcategory 275,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,No asignado,False,292.5
INC0002633,Caller 468,Opened by  402,Phone,Location 93,Category 45,Subcategory 229,Symptom 249,2 - Medium,2 - Medium,3 - Moderate,Group 17,Resolver 237,False,406.8833333333333
INC0007174,Caller 3616,Opened by  8,Phone,Location 161,Category 20,Subcategory 103,Symptom 208,2 - Medium,2 - Medium,3 - Moderate,No asignado,No asignado,False,148.06666666666666
INC0003621,Caller 1235,Opened by  468,Phone,Location 204,Category 45,Subcategory 150,Symptom 287,2 - Medium,2 - Medium,3 - Moderate,Group 10,Resolver 200,False,336.6166666666667
INC0008494,Caller 3867,Opened by  58,Phone,Location 161,Category 46,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 57,Resolver 155,False,92.73333333333333
INC0009465,Caller 3154,Opened by  298,Phone,Location 14,Category 42,Subcategory 29,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 55,Resolver 134,False,2.1333333333333333
INC0002725,Caller 3492,Opened by  62,Phone,Location 93,Category 45,Subcategory 107,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 22,Resolver 155,False,405.56666666666666
INC0006003,Caller 4642,Opened by  108,Phone,Location 161,Category 46,Subcategory 223,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 22,Resolver 155,False,242.18333333333334
INC0002072,Caller 501,Opened by  402,Phone,Location 47,Category 45,Subcategory 200,Symptom 589,2 - Medium,2 - Medium,3 - Moderate,Group 22,Resolver 155,False,431.03333333333336
INC0003707,Caller 2533,Opened by  70,Phone,Location 39,Category 45,Subcategory 229,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 6,Resolver 200,False,335.85
INC0009579,Caller 3969,Opened by  24,Phone,Location 71,Category 20,Subcategory 103,Symptom 387,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,False,0.21666666666666667
INC0002142,Caller 3745,Opened by  402,Phone,Location 51,Category 44,Subcategory 54,Symptom 208,2 - Medium,2 - Medium,3 - Moderate,Group 5,No asignado,False,429.75
INC0009542,Caller 21,Opened by  390,Phone,Location 204,Category 40,Subcategory 43,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 20,No asignado,False,0.7166666666666667
INC0004159,Caller 3440,Opened by  325,Phone,Location 231,Category 55,Subcategory 270,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 17,False,316.35
INC0004368,Caller 2833,Opened by  17,Phone,Location 204,Category 46,Subcategory 259,Symptom 272,2 - Medium,2 - Medium,3 - Moderate,Group 6,Resolver 237,False,312.43333333333334
INC0004351,Caller 5368,Opened by  402,Phone,Location 143,Category 26,Subcategory 164,Symptom 387,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 149,False,312.8
INC0004353,Caller 4046,Opened by  301,Phone,Location 93,Category 26,Subcategory 175,No reportado,2 - Medium,2 - Medium,3 - Moderate,No asignado,No asignado,False,312.81666666666666
INC0007255,Caller 3892,Opened by  17,Phone,Location 204,Category 8,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 65,Resolver 2,False,147.28333333333333
INC0008357,Caller 4558,Opened by  397,Phone,Location 93,Category 53,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 33,False,97.13333333333334
INC0009377,Caller 394,Opened by  390,Phone,Location 93,Category 46,Subcategory 261,Symptom 170,2 - Medium,2 - Medium,3 - Moderate,Group 6,Resolver 176,False,4.416666666666667
INC0004356,Caller 1480,Opened by  59,Phone,Location 204,Category 46,Subcategory 223,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 149,False,312.75
INC0004295,Caller 3747,Opened by  55,Phone,Location 204,Category 53,Subcategory 50,Symptom 387,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 17,False,313.85
INC0008905,Caller 4414,Opened by  433,Phone,Location 51,Category 46,Subcategory 174,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 55,Resolver 134,False,71.6
INC0003231,Caller 2443,Opened by  17,Phone,Location 204,Category 53,Subcategory 117,No reportado,2 - Medium,2 - Medium,3 - Moderate,Group 23,Resolver 115,False,341.15
INC0007763,Caller 3265,Opened by  55,Phone,Location 43,Category 53,Subcategory 303,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 17,False,123.36666666666666
INC0009565,Caller 21,Opened by  17,Phone,Location 204,Category 26,Subcategory 175,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 28,False,0.6333333333333333
INC0009584,Caller 21,Opened by  17,Phone,Location 204,Category 9,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 25,No asignado,False,0.4166666666666667
INC0009588,Caller 1440,Opened by  24,Phone,Location 204,Category 32,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,No asignado,Resolver 17,False,0.3
INC0008591,Caller 3036,Opened by  17,Phone,Location 108,Category 34,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 34,False,78.4
INC0009496,Caller 1058,Opened by  17,Phone,Location 108,Category 9,Subcategory 164,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 27,Resolver 34,False,1.9833333333333334
INC0004462,Caller 3089,Opened by  55,Phone,Location 108,Category 61,Subcategory 164,No reportado,2 - Medium,2 - Medium,3 - Moderate,No asignado,No asignado,False,310.75
INC0008960,Caller 4633,Opened by  58,Phone,Location 161,Category 23,Subcategory 174,Symptom 491,2 - Medium,2 - Medium,3 - Moderate,Group 24,Resolver 249,False,70.03333333333333
